
['create a file', 'create_files', '1.0']
['hey there', 'starting', '1.0']
['how are you doing', 'ask_how_are_you_1', '0.93501794']
['tel me time', 'usual_time', '1.0']
['and date', 'the_date', '1.0']
['ok, date', 'the_date', '1.0']
[' time', 'usual_time', '1.0']
['hello', 'starting', '0.99998975']
['how are you doing?', 'ask_how_are_you_1', '0.93501794']
['hey', 'starting', '0.9999614']
['what is the time', 'usual_time', '1.0']
['and what is the date', 'the_date', '1.0']
[' time', 'usual_time', '1.0']
['who are you?', 'ask_name', '1.0']
['i said yes', 'ask_name', '1.0']
['hey', 'starting', '0.9999614']
['hey', 'starting', '0.9999614']
['hey', 'starting', '0.9999614']
['hey', 'starting', '0.9999614']
['how are you doing?', 'ask_how_are_you_1', '0.93501794']
['what is the time?', 'usual_time', '1.0']
['good', 'starting', '0.99854565']
['hey', 'starting', '0.9999614']
['time check', 'usual_time', '1.0']
['hey', 'starting', '0.9999614']
['hey', 'starting', '0.9999614']
['hey', 'starting', '0.9999614']
['how are you doing?', 'ask_how_are_you_1', '0.93501794']
['hey', 'starting', '0.9999614']
['how are you doing?', 'ask_how_are_you_1', '0.93501794']
['hey', 'starting', '0.9999614']
['no, how are you doing', 'ask_how_are_you_1', '0.93501794']
['hey', 'starting', '0.9999614']
['hey', 'starting', '0.9999614']
['time', 'usual_time', '1.0']
['date', 'the_date', '1.0']
['hey', 'starting', '0.9999614']
[' time', 'usual_time', '1.0']
[' date', 'the_date', '1.0']
['hello', 'starting', '0.99998975']
['hello', 'starting', '0.99998975']
['how are you doing?', 'ask_how_are_you_1', '0.93501794']
['hey', 'starting', '0.9999614']
['how are you doing?', 'ask_how_are_you_1', '0.93501794']
['time check', 'usual_time', '1.0']
['hey', 'starting', '0.9999614']
['how are you doing????', 'ask_how_are_you_1', '0.93501794']
['hey', 'starting', '0.9999614']
['how', 'ask_how_are_you_1', '0.9986247']
['how are ', 'ask_how_are_you_1', '0.99810636']
['hey', 'starting', '0.9999614']
['nope...accha bad dao....tumi ki time jano?', 'usual_time', '1.0']
['hey', 'starting', '0.9999614']
['hey', 'starting', '0.9999614']
['how are you doing?', 'ask_how_are_you_1', '0.93501794']
