
['how are you', 'ask_how_are_you_1', '0.89916104']
['how are you', 'ask_how_are_you_1', '0.89916104']
['wow', 'goodbye', '0.6217779']
['no', 'goodbye', '0.6217779']
[' weather', 'goodbye', '0.6217779']
['[quit]', 'goodbye', '0.6217779']
['yes', 'goodbye', '0.6217779']
['6ye', 'goodbye', '0.6217779']
['yes', 'goodbye', '0.6217779']
['how are you?', 'ask_how_are_you_1', '0.89916104']
['how are you', 'ask_how_are_you_1', '0.89916104']
['how are you', 'ask_how_are_you_1', '0.89916104']
['how are you?', 'ask_how_are_you_1', '0.89916104']
['wow', 'goodbye', '0.6217779']
['cxc', 'goodbye', '0.6217779']
['xc', 'goodbye', '0.6217779']
['zxc', 'goodbye', '0.6217779']
['xzs', 'goodbye', '0.6217779']
['f', 'goodbye', '0.6217779']
['c', 'goodbye', '0.6217779']
[' ', 'goodbye', '0.6217779']
['qquit', 'goodbye', '0.6217779']
['how are you', 'ask_how_are_you_1', '0.89916104']
['wow', 'goodbye', '0.6217779']
['wow', 'goodbye', '0.6217779']
['mkj', 'goodbye', '0.6217779']
['xsd', 'goodbye', '0.6217779']
['sd', 'goodbye', '0.6217779']
['sd', 'goodbye', '0.6217779']
['s', 'goodbye', '0.6217779']
['dsds', 'goodbye', '0.6217779']
['dsds', 'goodbye', '0.6217779']
['d', 'goodbye', '0.6217779']
['s', 'goodbye', '0.6217779']
['ds', 'goodbye', '0.6217779']
['x', 'goodbye', '0.6217779']
['x', 'goodbye', '0.6217779']
['z', 'goodbye', '0.6217779']
['x', 'goodbye', '0.6217779']
['cx', 'goodbye', '0.6217779']
['c', 'goodbye', '0.6217779']
['xc', 'goodbye', '0.6217779']
['x', 'goodbye', '0.6217779']
['cx', 'goodbye', '0.6217779']
['cx', 'goodbye', '0.6217779']
['c', 'goodbye', '0.6217779']
['x', 'goodbye', '0.6217779']
['cx', 'goodbye', '0.6217779']
['c', 'goodbye', '0.6217779']
['xc', 'goodbye', '0.6217779']
['x', 'goodbye', '0.6217779']
['cx', 'goodbye', '0.6217779']
['c', 'goodbye', '0.6217779']
['x', 'goodbye', '0.6217779']
['cx', 'goodbye', '0.6217779']
['c', 'goodbye', '0.6217779']
['x', 'goodbye', '0.6217779']
['c', 'goodbye', '0.6217779']
['xc', 'goodbye', '0.6217779']
['x', 'goodbye', '0.6217779']
['cx', 'goodbye', '0.6217779']
['cx', 'goodbye', '0.6217779']
['c', 'goodbye', '0.6217779']
['xc', 'goodbye', '0.6217779']
['x', 'goodbye', '0.6217779']
['cx', 'goodbye', '0.6217779']
['x', 'goodbye', '0.6217779']
['x', 'goodbye', '0.6217779']
['cx', 'goodbye', '0.6217779']
['cx', 'goodbye', '0.6217779']
['c', 'goodbye', '0.6217779']
['xc', 'goodbye', '0.6217779']
['x', 'goodbye', '0.6217779']
['cx', 'goodbye', '0.6217779']
['cx', 'goodbye', '0.6217779']
['c', 'goodbye', '0.6217779']
['xc', 'goodbye', '0.6217779']
['xc', 'goodbye', '0.6217779']
['x', 'goodbye', '0.6217779']
['cx', 'goodbye', '0.6217779']
['cx', 'goodbye', '0.6217779']
['cx', 'goodbye', '0.6217779']
['c', 'goodbye', '0.6217779']
['x', 'goodbye', '0.6217779']
['c', 'goodbye', '0.6217779']
['xc', 'goodbye', '0.6217779']
['x', 'goodbye', '0.6217779']
['x', 'goodbye', '0.6217779']
['cx', 'goodbye', '0.6217779']
['cx', 'goodbye', '0.6217779']
['cxc', 'goodbye', '0.6217779']
['x', 'goodbye', '0.6217779']
['cx', 'goodbye', '0.6217779']
['c', 'goodbye', '0.6217779']
['x', 'goodbye', '0.6217779']
['c', 'goodbye', '0.6217779']
['xcquit', 'goodbye', '0.6217779']
['tie', 'goodbye', '0.6217779']
['how are you?', 'ask_how_are_you_1', '0.89916104']
['yes', 'goodbye', '0.6217779']
['wow', 'goodbye', '0.6217779']
['how are you?', 'ask_how_are_you_1', '0.89916104']
['how are you?', 'ask_how_are_you_1', '0.89916104']
